sex id age height weight dm1 nd1 dm2 nd2 dm3 nd3
Female   1   20  64  107  17  13  20  17  23  22
Female   2   23  68  140  25  25  28  29  31  31
Female   3   23  67  135  27  28  30  31  32  33
Female   4   23  67  155  23  28  27  29  27  32
Female   5   25  65  115  15  11  15  13  17  17
Female   6   26  68  147  27  17  25  21  32  27
Female   7   31  62  147  25  17  25  21  29  24
Female   8   31  66  137  19  15  17  17  21  19
Female   9   33  66  160  28  26  31  27  31  31
Female  10   36  66  118  23  23  26  27  27  25
Female  11   56  67  210  23  31  37  44  49  53
Female  12   59  67  130  15  17  17  19  20  20
Female  13   60  63  132  17  15  19  21  24  28
Female  14   60  64  180  15  15  17  19  19  21
Female  15   67  62  135  13   5  15   8  15  14
Female  16   73  62  124  11   9  13  13  19  17
Male    17   26  69  140  43  43  44  43  49  41
Male    18   28  71  175  45  43  48  45  53  52
Male    19   28  70  125  25  29  29  37  39  41
Male    20   28  70  175  39  41  49  47  55  44
Male    21   29  72  150  38  33  40  33  44  37
Male    22   30  68  145  53  41  51  40  59  44
Male    23   31  74  240  60  49  71  54  68  53
Male    24   32  67  168  32  31  37  31  39  30
Male    25   40  69  174  47  37  43  47  49  53
Male    26   41  72  190  33  25  29  25  39  27
Male    27   41  68  184  39  24  43  25  39  33
Male    28   56  70  200  21  11  23  12  33  24
Male    29   58  72  168  41  35  45  37  49  39
Male    30   59  73  170  31  32  31  31  35  38
Male    31   60  73  225  39  41  47  45  55  49
Male    32   68  67  140  31  23  33  27  37  33
Male    33   72  69  125  13  17  17  19  17  25
